filename,county,latitude,longitude,well,filetime,casgem_id,local_well_number,date,military_time_pst,no_measurement,questionable_measurement,reading_rp,reading_ws,rp_to_ws,rp_elevation,gs_elevation,wse,gs_to_ws,measurement_method,measurement_accuracy,collecting,comments,month,day,year
Marin_06.21.1983-06.21.2013.csv,Marin,38.106,-122.5197,W001,2013-09-18 13:29:54,381060N1225197W001,,5/17/2012,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,13.660,12.660,NULL,NULL,,,Department of Water Resources,Voluntary,gate locked5,17,2012
Marin_06.21.1983-06.21.2013.csv,Marin,38.106,-122.5197,W001,2013-09-18 13:29:54,381060N1225197W001,,11/29/2012,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,13.660,12.660,NULL,NULL,,,Department of Water Resources,Voluntary,gate locked11,29,2012
Marin_06.21.1983-06.21.2013.csv,Marin,38.106,-122.5197,W001,2013-09-18 13:29:54,381060N1225197W001,,4/17/2013,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,13.660,12.660,NULL,NULL,,,Department of Water Resources,Voluntary,gate locked4,17,2013
