filename,county,latitude,longitude,well,filetime,casgem_id,local_well_number,date,military_time_pst,no_measurement,questionable_measurement,reading_rp,reading_ws,rp_to_ws,rp_elevation,gs_elevation,wse,gs_to_ws,measurement_method,measurement_accuracy,collecting,comments,month,day,year
Merced_01.01.2005-12.31.2007.csv,Merced,36.2686,-120.9946,W001,2013-09-18 13:29:54,362686N1209946W001,,11/12/2007,00:00,5 - Unable to locate well,,NULL,NULL,NULL,94.210,93.210,NULL,NULL,,,Department of Water Resources,Voluntary,11,12,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9257,-120.7454,W001,2013-09-18 13:29:54,369257N1207454W001,,4/14/2005,00:00,,,100.000,0.000,100.000,147.130,145.530,47.130,98.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9257,-120.7454,W001,2013-09-18 13:29:54,369257N1207454W001,,4/19/2006,00:00,,,94.300,0.000,94.300,147.130,145.530,52.830,92.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9257,-120.7454,W001,2013-09-18 13:29:54,369257N1207454W001,,11/28/2006,00:00,,8 - Oil or foreign substance in casing,92.600,0.000,92.600,147.130,145.530,54.530,91.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9257,-120.7454,W001,2013-09-18 13:29:54,369257N1207454W001,,3/8/2007,00:00,,,85.600,0.000,85.600,147.130,145.530,61.530,84.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,3,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9266,-120.8274,W001,2013-09-18 13:29:54,369266N1208274W001,11S10E36Q001M,11/8/2007,00:00,D - Dry well,,NULL,NULL,NULL,228.490,227.490,NULL,NULL,,,Department of Water Resources,Voluntary,11,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9296,-120.8293,W001,2013-09-18 13:29:54,369296N1208293W001,,11/8/2007,00:00,,,10.500,0.000,10.500,213.600,213.080,203.100,9.980,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9299,-120.686,W001,2013-09-18 13:29:54,369299N1206860W001,,4/14/2005,00:00,,,11.500,0.000,11.500,139.900,138.400,128.400,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9299,-120.686,W001,2013-09-18 13:29:54,369299N1206860W001,,4/19/2006,00:00,,,11.800,0.000,11.800,139.900,138.400,128.100,10.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9299,-120.686,W001,2013-09-18 13:29:54,369299N1206860W001,,11/28/2006,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,139.900,138.400,NULL,NULL,,,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9299,-120.686,W001,2013-09-18 13:29:54,369299N1206860W001,,4/11/2007,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,139.900,138.400,NULL,NULL,,,Department of Water Resources,Voluntary,4,11,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9299,-120.686,W001,2013-09-18 13:29:54,369299N1206860W001,,11/12/2007,00:00,,,17.900,0.000,17.900,139.900,138.400,122.000,16.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,12,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9318,-120.8307,W001,2013-09-18 13:29:54,369318N1208307W001,,11/8/2007,00:00,D - Dry well,,NULL,NULL,NULL,222.610,222.000,NULL,NULL,,,Department of Water Resources,Voluntary,11,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9363,-120.8313,W001,2013-09-18 13:29:54,369363N1208313W001,,11/8/2007,00:00,,,21.400,0.000,21.400,223.140,222.950,201.740,21.210,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9396,-120.8321,W001,2013-09-18 13:29:54,369396N1208321W001,,11/8/2007,00:00,D - Dry well,,NULL,NULL,NULL,223.980,223.450,NULL,NULL,,,Department of Water Resources,Voluntary,11,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9399,-120.8343,W001,2013-09-18 13:29:54,369399N1208343W001,,11/8/2007,00:00,5 - Unable to locate well,,NULL,NULL,NULL,235.190,234.340,NULL,NULL,,,Department of Water Resources,Voluntary,11,8,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9477,-120.6907,W001,2013-09-18 13:29:54,369477N1206907W001,,4/14/2005,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,123.580,120.380,NULL,NULL,,,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9477,-120.6907,W001,2013-09-18 13:29:54,369477N1206907W001,,4/19/2006,00:00,,,3.800,0.000,3.800,123.580,120.380,119.780,0.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9477,-120.6907,W001,2013-09-18 13:29:54,369477N1206907W001,,11/28/2006,00:00,,,4.100,0.000,4.100,123.580,120.380,119.480,0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9477,-120.6907,W001,2013-09-18 13:29:54,369477N1206907W001,,4/11/2007,00:00,,,4.100,0.000,4.100,123.580,120.380,119.480,0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,11,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9477,-120.6907,W001,2013-09-18 13:29:54,369477N1206907W001,,11/12/2007,00:00,,,4.700,0.000,4.700,123.580,120.380,118.880,1.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,12,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9482,-120.6907,W001,2013-09-18 13:29:54,369482N1206907W001,,4/14/2005,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,121.780,120.380,NULL,NULL,,,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9482,-120.6907,W001,2013-09-18 13:29:54,369482N1206907W001,,4/19/2006,00:00,,,5.300,0.000,5.300,121.780,120.380,116.480,3.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9482,-120.6907,W001,2013-09-18 13:29:54,369482N1206907W001,,11/28/2006,00:00,,,5.000,0.000,5.000,121.780,120.380,116.780,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9482,-120.6907,W001,2013-09-18 13:29:54,369482N1206907W001,,4/11/2007,00:00,,,5.000,0.000,5.000,121.780,120.380,116.780,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,11,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9482,-120.6907,W001,2013-09-18 13:29:54,369482N1206907W001,,11/12/2007,00:00,,,4.200,0.000,4.200,121.780,120.380,117.580,2.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,12,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9485,-120.6907,W001,2013-09-18 13:29:54,369485N1206907W001,,4/14/2005,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,121.080,120.380,NULL,NULL,,,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9485,-120.6907,W001,2013-09-18 13:29:54,369485N1206907W001,,4/19/2006,00:00,,,7.500,0.000,7.500,121.080,120.380,113.580,6.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9485,-120.6907,W001,2013-09-18 13:29:54,369485N1206907W001,,11/28/2006,00:00,,,8.900,0.000,8.900,121.080,120.380,112.180,8.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9485,-120.6907,W001,2013-09-18 13:29:54,369485N1206907W001,,4/11/2007,00:00,,,8.100,0.000,8.100,121.080,120.380,112.980,7.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,11,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9485,-120.6907,W001,2013-09-18 13:29:54,369485N1206907W001,,11/12/2007,00:00,,,11.900,0.000,11.900,121.080,120.380,109.180,11.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,12,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9549,-120.8371,W001,2013-09-18 13:29:54,369549N1208371W001,,4/14/2005,00:00,,,39.800,0.000,39.800,193.760,193.160,153.960,39.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9549,-120.8371,W001,2013-09-18 13:29:54,369549N1208371W001,,4/19/2006,00:00,,,41.400,0.000,41.400,193.760,193.160,152.360,40.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9549,-120.8371,W001,2013-09-18 13:29:54,369549N1208371W001,,11/28/2006,00:00,,,41.900,0.000,41.900,193.760,193.160,151.860,41.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9549,-120.8371,W001,2013-09-18 13:29:54,369549N1208371W001,,4/11/2007,00:00,,,41.100,0.000,41.100,193.760,193.160,152.660,40.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,11,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9574,-120.8393,W001,2013-09-18 13:29:54,369574N1208393W001,,4/14/2005,00:00,,,43.800,0.000,43.800,195.770,194.770,151.970,42.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9574,-120.8393,W001,2013-09-18 13:29:54,369574N1208393W001,,4/19/2006,00:00,,,44.800,0.000,44.800,195.770,194.770,150.970,43.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9574,-120.8393,W001,2013-09-18 13:29:54,369574N1208393W001,,11/28/2006,00:00,,,45.500,0.000,45.500,195.770,194.770,150.270,44.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9574,-120.8393,W001,2013-09-18 13:29:54,369574N1208393W001,,3/9/2007,00:00,,,45.200,0.000,45.200,195.770,194.770,150.570,44.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,3,9,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.846,W001,2013-09-18 13:29:54,369618N1208460W001,,4/14/2005,00:00,,,57.100,0.000,57.100,202.800,202.800,145.700,57.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.846,W001,2013-09-18 13:29:54,369618N1208460W001,,4/19/2006,00:00,,,57.600,0.000,57.600,202.800,202.800,145.200,57.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.846,W001,2013-09-18 13:29:54,369618N1208460W001,,11/28/2006,00:00,,,57.300,0.000,57.300,202.800,202.800,145.500,57.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.846,W001,2013-09-18 13:29:54,369618N1208460W001,,3/9/2007,00:00,,,58.500,0.000,58.500,202.800,202.800,144.300,58.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,3,9,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.8588,W001,2013-09-18 13:29:54,369618N1208588W001,,4/14/2005,00:00,,,86.700,0.000,86.700,232.840,231.840,146.140,85.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.8588,W001,2013-09-18 13:29:54,369618N1208588W001,,4/19/2006,00:00,,,85.500,0.000,85.500,232.840,231.840,147.340,84.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,19,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.8588,W001,2013-09-18 13:29:54,369618N1208588W001,,11/28/2006,00:00,,,87.100,0.000,87.100,232.840,231.840,145.740,86.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,28,2006
Merced_01.01.2005-12.31.2007.csv,Merced,36.9618,-120.8588,W001,2013-09-18 13:29:54,369618N1208588W001,,4/11/2007,00:00,,,88.400,0.000,88.400,232.840,231.840,144.440,87.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,4,11,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9666,-120.8104,W001,2013-09-18 13:29:54,369666N1208104W001,,11/12/2007,00:00,,,1.800,0.000,1.800,141.620,140.620,139.820,0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,11,12,2007
Merced_01.01.2005-12.31.2007.csv,Merced,36.9677,-120.7282,W001,2013-09-18 13:29:54,369677N1207282W001,,4/14/2005,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,113.400,112.400,NULL,NULL,,,Department of Water Resources,Voluntary,4,14,2005
Merced_01.01.2005-12.31.2007.csv,Merced,36.9677,-120.7282,W001,2013-09-18 13:29:54,369677N1207282W001,,4/19/2006,00:00,9 - Temporarily inaccessible,,NULL,NULL,NULL,113.400,112.400,NULL,NULL,,,Department of Water Resources,Voluntary,4,19,2006
